THREAT_ATTRIBUTE_ID,THREAT_CATEGORY,THREAT_NAME,ADVERSARIAL_INTENT_CLASS,INSTRUCTION_MANIPULATION_CLASS,RETRIEVAL_MANIPULATION_CLASS,PAYLOAD_TRUST_CLASS,RETRIEVAL_RISK_TYPE,SEVERITY_WEIGHT,EXPECTED_DECISION,DETECTION_METHOD,IS_ACTIVE
TA-001,AUTHORITY_OVERRIDE,Ignore prior controls,AUTHORITY_OVERRIDE,IGNORE_PRIOR,,HOSTILE_INSTRUCTION,INSTRUCTION_OVERRIDE,0.9500,BLOCK,SEMANTIC_ATTRIBUTE,TRUE
TA-002,POLICY_BYPASS,Bypass governance controls,POLICY_BYPASS,SYSTEM_OVERRIDE,,HOSTILE_INSTRUCTION,POLICY_BYPASS,0.9500,BLOCK,SEMANTIC_ATTRIBUTE,TRUE
TA-003,RETRIEVAL_REDIRECTION,Unauthorized retrieval redirect,RETRIEVAL_REDIRECTION,,UNAUTHORIZED_SOURCE,HOSTILE_INSTRUCTION,RETRIEVAL_PATH,0.9000,BLOCK,SEMANTIC_ATTRIBUTE,TRUE
TA-004,SCOPE_ESCALATION,Scope expansion,RETRIEVAL_REDIRECTION,,SCOPE_EXPANSION,,SCOPE_EXPANSION,0.7000,RESTRICT,SEMANTIC_ATTRIBUTE,TRUE
TA-005,DATA_EXFILTRATION,Sensitive data retrieval,DATA_EXFILTRATION,,UNAUTHORIZED_SOURCE,HOSTILE_INSTRUCTION,SENSITIVE_RETRIEVAL,0.9800,BLOCK,SEMANTIC_ATTRIBUTE,TRUE
TA-006,WORKFLOW_MANIPULATION,Workflow sequence bypass,WORKFLOW_MANIPULATION,SYSTEM_OVERRIDE,,HOSTILE_INSTRUCTION,WORKFLOW_CONTROL,0.8500,RESTRICT,SEMANTIC_ATTRIBUTE,TRUE
TA-007,OBFUSCATION,Encoded hostile payload,UNKNOWN,HIDDEN_INSTRUCTION,,OBFUSCATED,OBFUSCATION,0.7500,RESTRICT,SEMANTIC_ATTRIBUTE,TRUE
TA-008,UNKNOWN_RISK,Unknown adversarial posture,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.6000,RESTRICT,FAIL_CLOSED,TRUE
TA-009,RETRIEVAL_REDIRECTION,Cross-domain retrieval redirect,RETRIEVAL_REDIRECTION,,CROSS_DOMAIN_REDIRECT,USER_ASSERTED_AUTHORITY,RETRIEVAL_PATH,0.7000,RESTRICT,SEMANTIC_ATTRIBUTE,TRUE
TA-010,ROLE_IMPERSONATION,Authority override via identity impersonation,AUTHORITY_OVERRIDE,ROLE_IMPERSONATION,,,INSTRUCTION_OVERRIDE,0.9000,BLOCK,SEMANTIC_ATTRIBUTE,TRUE
TA-011,ROLE_IMPERSONATION,Policy bypass via identity impersonation,POLICY_BYPASS,ROLE_IMPERSONATION,,,POLICY_BYPASS,0.9000,BLOCK,SEMANTIC_ATTRIBUTE,TRUE
TA-012,ROLE_IMPERSONATION,Data exfiltration via identity impersonation,DATA_EXFILTRATION,ROLE_IMPERSONATION,,,SENSITIVE_RETRIEVAL,0.9000,BLOCK,SEMANTIC_ATTRIBUTE,TRUE
TA-017,CONCEALMENT,Concealed authority override,AUTHORITY_OVERRIDE,HIDDEN_INSTRUCTION,,,INSTRUCTION_OVERRIDE,0.9000,BLOCK,SEMANTIC_ATTRIBUTE,TRUE
TA-018,CONCEALMENT,Concealed policy bypass,POLICY_BYPASS,HIDDEN_INSTRUCTION,,,POLICY_BYPASS,0.9000,BLOCK,SEMANTIC_ATTRIBUTE,TRUE
TA-019,CONCEALMENT,Concealed data exfiltration,DATA_EXFILTRATION,HIDDEN_INSTRUCTION,,,SENSITIVE_RETRIEVAL,0.9500,BLOCK,SEMANTIC_ATTRIBUTE,TRUE
